date;failures;serialNumber;comment
28.12.2020;1;1319151;München V008 M1 Z8 - Reiber, mit Boroskop am 28.12.2020 festgestellt, Cold Scuff, Motor lief 431 Stunden nach BSI
15.07.2021;1;1386260;Abinsk M10 - Z9 Ventilabrisse und Crown - Separation, Originator currently unknown
